NO,TANGGAL,KODE,NAMA BARANG,KATEGORI,HARGA MODAL,HARGA JUAL,LABA,DEPOSIT PULSA,SALDO KEUANGAN,LARIS
1,11/12/2023,A01,TELKOMSEL ,PULSA,5000,7000,2000,,7000,0
2,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,19000,1
3,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,31000,1
4,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,43000,1
5,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,55000,1
6,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,67000,1
7,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,79000,1
8,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,91000,1
9,11/12/2023,A06,INDOSAT ,PULSA,5000,7000,2000,,98000,0
10,11/12/2023,A09,INDOSAT ,PULSA,25000,27000,2000,,125000,0
11,11/12/2023,A17,THREE ,PULSA,10000,12000,2000,,137000,0
12,11/12/2023,A25,SMARTFREN ,PULSA,50000,52000,2000,,189000,0
13,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,201000,1
14,11/12/2023,A06,INDOSAT ,PULSA,5000,7000,2000,,208000,0
15,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,220000,1
16,11/12/2023,A04,TELKOMSEL ,PULSA,25000,27000,2000,,247000,0
17,11/12/2023,A01,TELKOMSEL ,PULSA,5000,7000,2000,,254000,0
18,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,266000,1
19,11/12/2023,B03,TELKOMSEL,KUOTA,77000,80000,3000,,346000,0
20,11/12/2023,A01,TELKOMSEL ,PULSA,5000,7000,2000,,353000,0
21,11/12/2023,B15,SMARTFREN,KOUTA,79000,82000,3000,,435000,0
22,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,447000,1
23,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,459000,1
24,11/12/2023,A04,TELKOMSEL ,PULSA,25000,27000,2000,,486000,0
25,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,498000,1
26,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,510000,1
27,11/12/2023,A13,XL ,PULSA,20000,22000,2000,,532000,0
28,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,544000,1
29,11/12/2023,A01,TELKOMSEL ,PULSA,5000,7000,2000,,551000,0
30,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,563000,1
31,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,575000,1
32,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,587000,1
33,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,599000,1
34,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,611000,1
35,11/12/2023,A04,TELKOMSEL ,PULSA,25000,27000,2000,,638000,0
36,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,650000,1
37,11/12/2023,A09,INDOSAT ,PULSA,25000,27000,2000,,677000,0
38,11/12/2023,A06,INDOSAT ,PULSA,5000,7000,2000,,684000,0
39,11/12/2023,A12,XL ,PULSA,10000,12000,2000,,696000,0
40,11/12/2023,B14,SMARTFREN,KUOTA,59000,62000,3000,,758000,0
41,11/12/2023,A11,XL ,PULSA,5000,7000,2000,,765000,0
42,11/12/2023,A06,INDOSAT ,PULSA,5000,7000,2000,,772000,0
43,11/12/2023,A06,INDOSAT ,PULSA,5000,7000,2000,,779000,0
44,11/12/2023,A09,INDOSAT ,PULSA,25000,27000,2000,,806000,0
45,11/12/2023,A04,TELKOMSEL ,PULSA,25000,27000,2000,,833000,0
46,11/12/2023,B03,TELKOMSEL,KUOTA,77000,80000,3000,,913000,0
47,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,925000,1
48,11/12/2023,A06,INDOSAT ,PULSA,5000,7000,2000,,932000,0
49,11/12/2023,A06,INDOSAT ,PULSA,5000,7000,2000,,939000,0
50,11/12/2023,A08,INDOSAT ,PULSA,20000,22000,2000,,961000,0
51,11/12/2023,A04,TELKOMSEL ,PULSA,25000,27000,2000,,988000,0
52,11/12/2023,A13,XL ,PULSA,20000,22000,2000,,1010000,0
53,11/12/2023,B05,INDOSAT,KUOTA,36000,39000,3000,,1049000,0
54,11/12/2023,A06,INDOSAT ,PULSA,5000,7000,2000,,1056000,0
55,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,1068000,1
56,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,1080000,1
57,11/12/2023,A14,XL ,PULSA,25000,27000,2000,,1107000,0
58,11/12/2023,B10,THREE,KUOTA,31000,34000,3000,,1141000,0
59,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,1153000,1
60,11/12/2023,A07,INDOSAT ,PULSA,10000,12000,2000,,1165000,1
61,11/12/2023,A02,TELKOMSEL ,PULSA,10000,12000,2000,,1177000,1
62,11/12/2023,A04,TELKOMSEL ,PULSA,25000,27000,2000,,1204000,0
